tourney_date,year,A_name,B_name,surface,tourney_level,best_of,y
20100103,2010,Andy Roddick,Peter Luczak,Hard,A,3,1
20100103,2010,Mischa Zverev,Carsten Ball,Hard,A,3,0
20100103,2010,Jarkko Nieminen,Richard Gasquet,Hard,A,3,0
20100103,2010,Jurgen Melzer,Matthew Ebden,Hard,A,3,0
20100103,2010,Tomas Berdych,Nick Lindahl,Hard,A,3,1
20100103,2010,Marcos Baghdatis,Mardy Fish,Hard,A,3,1
20100103,2010,Harel Levy,Michael Llodra,Hard,A,3,1
20100103,2010,Juan Ignacio Chela,Thomaz Bellucci,Hard,A,3,0
20100103,2010,Sam Querrey,James Blake,Hard,A,3,0
20100103,2010,Philipp Petzschner,Marc Gicquel,Hard,A,3,0
20100103,2010,Florent Serra,Julian Reister,Hard,A,3,1
20100103,2010,Taylor Dent,Gael Monfils,Hard,A,3,0
20100103,2010,Jeremy Chardy,Alejandro Falla,Hard,A,3,0
20100103,2010,Wayne Odesnik,Arnaud Clement,Hard,A,3,1
20100103,2010,Alexandr Dolgopolov,Bernard Tomic,Hard,A,3,1
20100103,2010,Radek Stepanek,John Millman,Hard,A,3,1
20100103,2010,Andy Roddick,Carsten Ball,Hard,A,3,1
20100103,2010,Matthew Ebden,Richard Gasquet,Hard,A,3,0
20100103,2010,Tomas Berdych,Marcos Baghdatis,Hard,A,3,1
20100103,2010,Thomaz Bellucci,Harel Levy,Hard,A,3,1
20100103,2010,Marc Gicquel,James Blake,Hard,A,3,0
20100103,2010,Gael Monfils,Florent Serra,Hard,A,3,1
20100103,2010,Wayne Odesnik,Alejandro Falla,Hard,A,3,1
20100103,2010,Radek Stepanek,Alexandr Dolgopolov,Hard,A,3,1
20100103,2010,Andy Roddick,Richard Gasquet,Hard,A,3,1
20100103,2010,Thomaz Bellucci,Tomas Berdych,Hard,A,3,0
20100103,2010,Gael Monfils,James Blake,Hard,A,3,1
20100103,2010,Wayne Odesnik,Radek Stepanek,Hard,A,3,0
20100103,2010,Tomas Berdych,Andy Roddick,Hard,A,3,0
20100103,2010,Radek Stepanek,Gael Monfils,Hard,A,3,1
20100103,2010,Radek Stepanek,Andy Roddick,Hard,A,3,0
20100104,2010,Robby Ginepri,Robin Soderling,Hard,A,3,1
20100104,2010,Roger Federer,Christophe Rochus,Hard,A,3,1
20100104,2010,Yen Hsun Lu,Lukas Lacko,Hard,A,3,0
20100104,2010,Martin Vassallo Arguello,Evgeny Korolev,Hard,A,3,0
20100104,2010,Daniel Brands,Kevin Kim,Hard,A,3,0
20100104,2010,Andreas Seppi,Oscar Hernandez,Hard,A,3,1
20100104,2010,Dudi Sela,Denis Istomin,Hard,A,3,1
20100104,2010,Albert Montanes,Ernests Gulbis,Hard,A,3,0
20100104,2010,Stan Wawrinka,Rohan Bopanna,Hard,A,3,1
20100104,2010,Nikolay Davydenko,Mikhail Kukushkin,Hard,A,3,1
20100104,2010,Michael Russell,Prakash Amritraj,Hard,A,3,1
20100104,2010,Marco Chiudinelli,Paolo Lorenzi,Hard,A,3,1
20100104,2010,Louk Sorensen,Stephane Robert,Hard,A,3,0
20100104,2010,Benjamin Becker,Daniel Koellerer,Hard,A,3,1
20100104,2010,Santiago Ventura,Michael Berrer,Hard,A,3,0
20100104,2010,Ivo Karlovic,Fabio Fognini,Hard,A,3,1
20100104,2010,Rajeev Ram,Thiemo De Bakker,Hard,A,3,0
20100104,2010,Daniel Gimeno Traver,Viktor Troicki,Hard,A,3,0
20100104,2010,Robin Haase,Tsung Hua Yang,Hard,A,3,1
20100104,2010,Abdulla Hajji,Olivier Rochus,Hard,A,3,0
20100104,2010,Rainer Schuettler,Somdev Devvarman,Hard,A,3,0
20100104,2010,Karim Maamoun,Lukasz Kubot,Hard,A,3,0
20100104,2010,Carlos Moya,Janko Tipsarevic,Hard,A,3,0
20100104,2010,Mikhail Youzhny,Sergiy Stakhovsky,Hard,A,3,0
20100104,2010,Simon Greul,Jan Hajek,Hard,A,3,0
20100104,2010,Steve Darcis,Guillermo Garcia Lopez,Hard,A,3,1
20100104,2010,Santiago Giraldo,Bjorn Phau,Hard,A,3,1
20100104,2010,Younes El Aynaoui,Ryler Deheart,Hard,A,3,1
20100104,2010,Marcel Granollers,James Ward,Hard,A,3,1
20100104,2010,Potito Starace,Frederico Gil,Hard,A,3,1
20100104,2010,Marin Cilic,Igor Kunitsyn,Hard,A,3,1
20100104,2010,Simone Bolelli,Rafael Nadal,Hard,A,3,0
20100104,2010,Lukas Lacko,Robby Ginepri,Hard,A,3,1
20100104,2010,Roger Federer,Evgeny Korolev,Hard,A,3,1
20100104,2010,Kevin Kim,Dudi Sela,Hard,A,3,0
20100104,2010,Ernests Gulbis,Andreas Seppi,Hard,A,3,1
20100104,2010,Michael Russell,Stan Wawrinka,Hard,A,3,0
20100104,2010,Nikolay Davydenko,Marco Chiudinelli,Hard,A,3,1
20100104,2010,Stephane Robert,Michael Berrer,Hard,A,3,0
20100104,2010,Benjamin Becker,Ivo Karlovic,Hard,A,3,0
20100104,2010,Thiemo De Bakker,Robin Haase,Hard,A,3,1
20100104,2010,Viktor Troicki,Olivier Rochus,Hard,A,3,1
20100104,2010,Somdev Devvarman,Janko Tipsarevic,Hard,A,3,0
20100104,2010,Sergiy Stakhovsky,Lukasz Kubot,Hard,A,3,0
20100104,2010,Jan Hajek,Santiago Giraldo,Hard,A,3,0
20100104,2010,Younes El Aynaoui,Steve Darcis,Hard,A,3,0
20100104,2010,Marin Cilic,Marcel Granollers,Hard,A,3,1
20100104,2010,Rafael Nadal,Potito Starace,Hard,A,3,1
20100104,2010,Dudi Sela,Lukas Lacko,Hard,A,3,1
20100104,2010,Ernests Gulbis,Roger Federer,Hard,A,3,0
20100104,2010,Michael Berrer,Stan Wawrinka,Hard,A,3,0
20100104,2010,Nikolay Davydenko,Ivo Karlovic,Hard,A,3,1
20100104,2010,Janko Tipsarevic,Thiemo De Bakker,Hard,A,3,1
20100104,2010,Viktor Troicki,Lukasz Kubot,Hard,A,3,1
20100104,2010,Marin Cilic,Santiago Giraldo,Hard,A,3,1
