A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Jannik Sinner,Clement Tabur,1,171,14750,348,24.0,26.0,191,173,1,,Clay,G,5,206173,
Jacob Fearnley,Juan Manuel Cerundolo,125,56,505,935,24.0,24.0,183,183,,,Clay,G,5,207985,207678
Martin Landaluce,Juan Carlos Prado Angelo,69,176,827,338,20.0,21.0,193,183,,,Clay,G,5,,
Vit Kopriva,Corentin Moutet,66,34,856,1323,28.0,27.0,178,180,,30,Clay,G,5,200240,144895
Arthur Rinderknech,Jurij Rodionov,25,158,1736,379,30.0,27.0,196,191,22,,Clay,G,5,126239,
Marton Fucsovics,Matteo Berrettini,65,105,859,585,34.0,30.0,188,196,,,Clay,G,5,105916,
Ethan Quinn,Francisco Comesana,50,102,974,598,22.0,25.0,191,178,,,Clay,G,5,210319,207681
Sebastian Ofner,Luciano Darderi,112,17,558,2260,30.0,24.0,191,183,,14,Clay,G,5,,209260
Alexander Bublik,Jan-Lennard Struff,10,80,3320,739,28.0,36.0,196,193,9,,Clay,G,5,122330,
Jaime Faria,Denis Shapovalov,115,39,548,1170,22.0,27.0,188,185,,,Clay,G,5,210262,133430
Jaume Munar,Hubert Hurkacz,41,99,1145,600,29.0,29.0,183,196,,,Clay,G,5,144719,128034
Eliot Spizzirri,Frances Tiafoe,91,22,660,1905,24.0,28.0,183,188,,19,Clay,G,5,208118,126207
Tallon Griekspoor,Matteo Arnaldi,33,104,1340,586,29.0,25.0,188,185,29,,Clay,G,5,134868,208286
Alexandre Muller,Stefanos Tsitsipas,127,79,494,740,29.0,27.0,183,193,,,Clay,G,5,124186,126774
Raphael Collignon,Aleksandar Vukic,62,96,866,626,24.0,30.0,191,188,,,Clay,G,5,209920,126846
Daniel Merida,Ben Shelton,86,5,696,4070,21.0,23.0,188,193,,5,Clay,G,5,,210097
Felix Auger-Aliassime,Daniel Altmaier,6,57,4050,930,25.0,27.0,193,188,4,,Clay,G,5,,127157
