A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Jannik Sinner,Miomir Kecmanovic,1,50,13450,1020,24.0,26.0,191,183,1,,Grass,G,5,206173,200175
Nuno Borges,Tristan Boyer,48,191,1020,302,29.0,25.0,185,188,,,Grass,G,5,132686,
Aleksandar Vukic,Jenson Brooksby,104,81,614,720,30.0,25.0,188,188,,,Grass,G,5,126846,202385
Emilio Nava,Ignacio Buse,86,34,704,1375,24.0,22.0,185,183,,31,Grass,G,5,207182,
Rafael Jodar,Felix Gill,26,220,1839,260,19.0,24.0,191,183,23,,Grass,G,5,212588,
Denis Shapovalov,Pablo Carreno Busta,41,71,1130,834,27.0,34.0,185,188,,,Grass,G,5,133430,105807
Shintaro Mochizuki,Max Basing,151,329,397,162,23.0,23.0,175,188,,,Grass,G,5,208278,
Ethan Quinn,Luciano Darderi,47,16,1021,2300,22.0,24.0,191,183,,14,Grass,G,5,210319,209260
Casper Ruud,Hubert Hurkacz,12,96,2425,665,27.0,29.0,183,196,11,,Grass,G,5,134770,128034
Hamad Medjedovic,Sebastian Ofner,68,110,844,557,22.0,30.0,188,191,,,Grass,G,5,209098,
Soonwoo Kwon,Martin Landaluce,200,60,280,926,28.0,20.0,180,193,,,Grass,G,5,,
Alexandre Muller,Tommy Paul,126,25,494,1925,29.0,29.0,183,185,,21,Grass,G,5,124186,126205
Brandon Nakashima,Jack Pinnington Jones,31,138,1485,434,24.0,23.0,188,183,28,,Grass,G,5,206909,
Jan-Lennard Struff,Sebastian Baez,74,57,804,935,36.0,25.0,193,170,,,Grass,G,5,105526,202104
Camilo Ugo Carabelli,Daniel Merida,59,84,930,706,27.0,21.0,185,188,,,Grass,G,5,200116,
Marin Cilic,Daniil Medvedev,62,9,911,3580,37.0,30.0,198,198,,8,Grass,G,5,105227,106421
Felix Auger-Aliassime,Aleksandr Shevchenko,4,99,4390,658,25.0,25.0,193,185,3,,Grass,G,5,200000,207686
Adam Walton,Dino Prizmic,85,89,704,691,27.0,20.0,183,188,,,Grass,G,5,200443,209976
Adolfo Daniel Vallejo,Nicolas Mejia,72,165,828,349,22.0,26.0,185,183,,,Grass,G,5,,
Michael Zheng,Cameron Norrie,144,29,410,1595,22.0,30.0,188,188,,26,Grass,G,5,210116,111815
Alejandro Davidovich Fokina,Juan Manuel Cerundolo,23,42,2060,1108,27.0,24.0,183,183,22,,Grass,G,5,200221,207678
Thiago Agustin Tirante,Fabian Marozsan,55,53,961,970,25.0,26.0,185,193,,,Grass,G,5,202058,206681
Luca Van Assche,Marton Fucsovics,80,76,735,781,22.0,34.0,178,188,,,Grass,G,5,,105916
Dalibor Svrcina,Learner Tien,112,17,550,2270,23.0,20.0,178,180,,16,Grass,G,5,207494,210530
Andrey Rublev,Roman Safiullin,13,132,2420,458,28.0,28.0,188,185,12,,Grass,G,5,126094,
Aleksandar Kovacevic,Botic van de Zandschulp,70,54,837,969,27.0,30.0,183,191,,,Grass,G,5,206499,122298
Jesper de Jong,Rinky Hijikata,73,82,808,717,26.0,25.0,180,178,,,Grass,G,5,207411,208014
Roberto Bautista Agut,Joao Fonseca,183,27,318,1710,38.0,19.0,183,185,,24,Grass,G,5,105138,211663
Arthur Rinderknech,Oliver Tarvet,28,348,1683,147,30.0,22.0,196,188,25,,Grass,G,5,126239,
Marco Trungelliti,Martin Damm,94,106,670,603,36.0,22.0,178,203,,,Grass,G,5,,102093
Hugo Gaston,Stefanos Tsitsipas,118,87,533,700,25.0,27.0,173,193,,,Grass,G,5,200384,126774
Yibing Wu,Novak Djokovic,102,8,634,3760,26.0,39.0,183,188,,7,Grass,G,5,200059,104925
