A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Jannik Sinner,Jenson Brooksby,1,81,13450,720,24.0,25.0,191,188,1.0,,Grass,G,5,206173.0,202385.0
Rafael Jodar,Shintaro Mochizuki,26,151,1839,397,19.0,23.0,191,175,23.0,,Grass,G,5,212588.0,208278.0
Hubert Hurkacz,Tommy Paul,96,25,665,1925,29.0,29.0,196,185,,21.0,Grass,G,5,128034.0,126205.0
Jan-Lennard Struff,Daniil Medvedev,74,9,804,3580,36.0,30.0,193,198,,8.0,Grass,G,5,105526.0,106421.0
Felix Auger-Aliassime,Michael Zheng,4,144,4390,410,25.0,22.0,193,188,3.0,,Grass,G,5,200000.0,210116.0
Alejandro Davidovich Fokina,Marton Fucsovics,23,76,2060,781,27.0,34.0,183,188,22.0,,Grass,G,5,200221.0,105916.0
Roman Safiullin,Joao Fonseca,132,27,458,1710,28.0,19.0,185,185,,24.0,Grass,G,5,,211663.0
Arthur Rinderknech,Novak Djokovic,28,8,1683,3760,30.0,39.0,196,188,25.0,7.0,Grass,G,5,126239.0,104925.0
Alex de Minaur,Zachary Svajda,6,66,4110,855,27.0,23.0,183,175,5.0,,Grass,G,5,200282.0,208260.0
Karen Khachanov,Flavio Cobolli,22,10,2080,3460,30.0,24.0,198,183,19.0,9.0,Grass,G,5,111575.0,207925.0
Grigor Dimitrov,Matteo Berrettini,146,51,407,985,35.0,30.0,191,196,,,Grass,G,5,105777.0,
Zizou Bergs,Arthur Fery,37,114,1250,547,27.0,23.0,185,175,,,Grass,G,5,200267.0,209259.0
Taylor Fritz,Lorenzo Sonego,7,69,3765,843,28.0,31.0,196,191,6.0,,Grass,G,5,126203.0,132283.0
Frances Tiafoe,Alexander Bublik,19,11,2180,2620,28.0,29.0,188,196,17.0,10.0,Grass,G,5,126207.0,122330.0
Jiri Lehecka,Jaume Munar,14,44,2360,1075,24.0,29.0,185,183,13.0,,Grass,G,5,208103.0,144719.0
Marcos Giron,Alexander Zverev,92,3,680,7190,32.0,29.0,180,198,,2.0,Grass,G,5,106218.0,100644.0
