A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Carlos Alcaraz,Yannick Hanfmann,1,102,12050,611,22.7,34.2,183.0,193.0,1.0,,Hard,G,5,207989.0,105870.0
Michael Zheng,Corentin Moutet,174,37,337,1383,22.0,26.8,188.0,180.0,,32.0,Hard,G,5,210116.0,144895.0
Tommy Paul,Thiago Agustin Tirante,20,102,2050,605,28.7,24.8,185.0,185.0,19.0,,Hard,G,5,126205.0,202058.0
Reilly Opelka,Alejandro Davidovich Fokina,63,14,873,2635,28.4,26.6,211.0,183.0,,14.0,Hard,G,5,124187.0,200221.0
Alexander Bublik,Marton Fucsovics,10,54,3065,967,28.6,33.9,196.0,188.0,10.0,,Hard,G,5,122330.0,105916.0
Tomas Martin Etcheverry,Arthur Fery,62,186,895,316,26.5,23.5,196.0,175.0,,,Hard,G,5,144869.0,209259.0
Frances Tiafoe,Francisco Comesana,34,68,1500,829,28.0,25.3,188.0,178.0,29.0,,Hard,G,5,126207.0,207681.0
Hamad Medjedovic,Alex De Minaur,90,6,681,4080,22.5,26.9,188.0,183.0,,6.0,Hard,G,5,209098.0,200282.0
Alexander Zverev,Alexandre Muller,3,52,5105,980,28.7,29.0,198.0,183.0,3.0,,Hard,G,5,100644.0,124186.0
Emilio Nava,Cameron Norrie,89,27,683,1553,24.1,30.4,185.0,188.0,,26.0,Hard,G,5,207182.0,111815.0
Francisco Cerundolo,Damir Dzumhur,21,66,2035,837,27.4,33.7,185.0,175.0,18.0,,Hard,G,5,202103.0,106000.0
Jaime Faria,Andrey Rublev,151,15,413,2600,22.5,28.2,188.0,188.0,,13.0,Hard,G,5,210262.0,126094.0
Daniil Medvedev,Quentin Halys,12,83,2910,725,29.9,29.2,198.0,191.0,11.0,,Hard,G,5,106421.0,111460.0
Kamil Majchrzak,Fabian Marozsan,59,47,918,1065,30.0,26.3,180.0,193.0,,,Hard,G,5,111794.0,206681.0
Learner Tien,Alexander Shevchenko,29,97,1540,650,20.1,25.1,180.0,185.0,25.0,,Hard,G,5,210530.0,207686.0
Jordan Thompson,Nuno Borges,111,46,548,1070,31.7,28.9,183.0,185.0,,,Hard,G,5,111442.0,132686.0
Lorenzo Musetti,Lorenzo Sonego,5,40,4105,1240,23.9,30.7,185.0,191.0,5.0,,Hard,G,5,207518.0,132283.0
Tomas Machac,Stefanos Tsitsipas,24,35,1610,1455,25.3,27.4,183.0,193.0,,31.0,Hard,G,5,207830.0,126774.0
Arthur Gea,Stan Wawrinka,198,139,300,437,21.0,40.8,180.0,183.0,,,Hard,G,5,210338.0,104527.0
Vit Kopriva,Taylor Fritz,101,9,626,3840,28.6,28.2,178.0,196.0,,9.0,Hard,G,5,200240.0,126203.0
Jakub Mensik,Rafael Jodar,17,150,2345,418,20.4,19.3,193.0,,,,Hard,G,5,210150.0,212588.0
Hubert Hurkacz,Ethan Quinn,55,80,965,733,28.9,21.9,196.0,191.0,,,Hard,G,5,128034.0,210319.0
Botic Van De Zandschulp,Juncheng Shang,75,318,759,165,30.3,21.0,191.0,180.0,,,Hard,G,5,122298.0,209992.0
Francesco Maestrelli,Novak Djokovic,141,4,436,4780,23.1,38.7,196.0,188.0,,4.0,Hard,G,5,208353.0,104925.0
Ben Shelton,Dane Sweeny,7,182,4000,325,23.3,24.9,193.0,170.0,8.0,,Hard,G,5,210097.0,208013.0
Rinky Hijikata,Valentin Vacherot,114,31,542,1519,24.9,27.2,178.0,193.0,,30.0,Hard,G,5,208014.0,200473.0
Denis Shapovalov,Marin Cilic,23,70,1650,790,26.8,37.3,185.0,198.0,21.0,,Hard,G,5,133430.0,105227.0
Jaume Munar,Casper Ruud,39,13,1335,2795,28.7,27.1,183.0,183.0,,12.0,Hard,G,5,144719.0,134770.0
Karen Khachanov,Nishesh Basavareddy,18,242,2320,230,29.7,20.7,198.0,180.0,15.0,,Hard,G,5,111575.0,210460.0
Sebastian Baez,Luciano Darderi,36,25,1390,1599,25.1,23.9,170.0,183.0,,22.0,Hard,G,5,202104.0,209260.0
Eliot Spizzirri,Yibing Wu,85,168,725,347,24.1,26.3,183.0,183.0,,,Hard,G,5,208118.0,200059.0
James Duckworth,Jannik Sinner,88,2,694,11500,34.0,24.4,183.0,191.0,,2.0,Hard,G,5,105902.0,206173.0
